[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.001870s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.004282s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000673s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003793s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000475s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/main/operations/ | NOTIC: [8] Use of undefined constant urlsite - assumed 'urlsite' MainAction.class.php 第 58 行.
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | INFO: Tag[ route_check ] --START--
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | INFO: Run CheckRoute Behavior [ RunTime:0.000358s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000476s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000441s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000552s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.005371s ]
[ 2012-05-09T18:06:48+08:00 ] /index.php?s=/stat/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.002830s ]
